duration_flow duration_rgb label video_class video_path vname
120 120 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01 v_ApplyEyeMakeup_g08
117 117 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02 v_ApplyEyeMakeup_g08
146 146 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03 v_ApplyEyeMakeup_g08
224 224 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04 v_ApplyEyeMakeup_g08
276 276 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05 v_ApplyEyeMakeup_g08
176 176 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01 v_ApplyEyeMakeup_g09
258 258 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02 v_ApplyEyeMakeup_g09
210 210 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03 v_ApplyEyeMakeup_g09
191 191 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04 v_ApplyEyeMakeup_g09
194 194 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05 v_ApplyEyeMakeup_g09
188 188 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06 v_ApplyEyeMakeup_g09
261 261 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07 v_ApplyEyeMakeup_g09
153 153 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01 v_ApplyEyeMakeup_g10
98 98 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02 v_ApplyEyeMakeup_g10
106 106 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03 v_ApplyEyeMakeup_g10
124 124 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04 v_ApplyEyeMakeup_g10
120 120 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05 v_ApplyEyeMakeup_g10
140 140 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01 v_ApplyEyeMakeup_g11
178 178 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02 v_ApplyEyeMakeup_g11
125 125 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03 v_ApplyEyeMakeup_g11
138 138 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04 v_ApplyEyeMakeup_g11
180 180 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05 v_ApplyEyeMakeup_g11
226 226 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01 v_ApplyEyeMakeup_g12
120 120 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02 v_ApplyEyeMakeup_g12
141 141 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03 v_ApplyEyeMakeup_g12
208 208 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04 v_ApplyEyeMakeup_g12
127 127 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c05 v_ApplyEyeMakeup_g12
212 212 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c06 v_ApplyEyeMakeup_g12
175 175 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c01 v_ApplyEyeMakeup_g13
99 99 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c02 v_ApplyEyeMakeup_g13
168 168 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c03 v_ApplyEyeMakeup_g13
120 120 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c04 v_ApplyEyeMakeup_g13
119 119 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c05 v_ApplyEyeMakeup_g13
137 137 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c06 v_ApplyEyeMakeup_g13
185 185 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c01 v_ApplyEyeMakeup_g14
186 186 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c02 v_ApplyEyeMakeup_g14
237 237 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c03 v_ApplyEyeMakeup_g14
132 132 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c04 v_ApplyEyeMakeup_g14
160 160 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c05 v_ApplyEyeMakeup_g14
169 169 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c01 v_ApplyEyeMakeup_g15
193 193 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c02 v_ApplyEyeMakeup_g15
232 232 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c03 v_ApplyEyeMakeup_g15
187 187 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c04 v_ApplyEyeMakeup_g15
259 259 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c05 v_ApplyEyeMakeup_g15
197 197 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c06 v_ApplyEyeMakeup_g15
182 182 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g15_c07 v_ApplyEyeMakeup_g15
125 125 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c01 v_ApplyEyeMakeup_g16
233 233 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c02 v_ApplyEyeMakeup_g16
114 114 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c03 v_ApplyEyeMakeup_g16
98 98 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c04 v_ApplyEyeMakeup_g16
201 201 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g16_c05 v_ApplyEyeMakeup_g16
116 116 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g17_c01 v_ApplyEyeMakeup_g17
173 173 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g17_c02 v_ApplyEyeMakeup_g17
94 94 0 ApplyEyeMakeup ApplyEyeMakeup/v_ApplyEyeMakeup_g17_c03 v_ApplyEyeMakeup_g17
